Date,Title,Content
22 November 2020,Business friendly - CCC,"The Ceylon Chamber of Commerce welcomes the proposals in Budget 2021 which are business friendly, production oriented and demonstrative of policy continuity. The Budget has focused on boosting economic growth by enhancing exports, providing investment relief for key thrust sectors supplemented by public investment proposals, promoting capital markets and supporting the growth of Startups and SMEs.The emphasis on tax policy continuity and measures announced to strengthen tax administration demonstrates a strong commitment to policy consistency while strengthening and broad basing revenues.The Chamber in its Pre-Budget proposals highlighted the importance of the Government maintaining the current tax laws and rates at least for the next five years or so thereby providing the necessary consistency in tax policy. The adoption of a consistent tax policy under the National Budget 2021 would not only provide a platform for proper planning for business but would also help the Government in long term cash flow planning and strengthening fiscal consolidation.The Chamber also welcomes the tax relief for investment in machinery and equipment for domestic manufacturing and exports and the relaxing of import restrictions on certain sectors in line with past recommendations by the Chamber.Proposals on enhancing Digital governance, investments in technology and infrastructure including rural connectivity to facilitate digital inclusion are also notable. The Chamber trusts that the positive benefits accrued from the macro stability set out by National Budget 2021 will provide a foundation for sustainable growth acceleration over the medium and long-term as envisaged."
7 March 2021,Motivation is not about a pat on the back,"Contrary to the popular belief that motivating people is all about appreciating people and pulling up people for weaknesses and negligence, de-motivate people, the fact remains that you cannot change bad people to be good unless you are direct and openly offer your feedback. Without differentiating performance of people – say good for good and bad for bad – you will not be able to achieve business results.The general notion of motivating people is to pat the back is a bygone theory and it does not work that way. Most Sri Lankan leaders try to be popular by only appreciating people and ignoring bad performance and performers. The loss of business value due to this typical Sri Lankan leadership attitude is enormous. The world is full of uncertainties. A leader’s role is to bring about certainty out of uncertainty. Given the erratic nature of the economy, which on a daily basis dictates and significantly changes the operating environment for business organisations, both employers and employees are faced with the challenge of having to constantly adapt to meet challenges head-on, and to figure out new ways of working.Sustaining performanceThe work environment for employees is fast-paced, dynamic and challenging one making your strategies and value propositions short-lived, so you need constant creativity, analytical thinking, continuous improvements and correct speed of execution to improve or sustain performance.To succeed as a manager you need to grow yourself and when you become a manager, success depends on how you grow your team members. Challenging employees to reach their best potential is one good way of growing them. Employees have the potential to do more than they think and it is not until they enter the working world that many slowly begin to discover that.An employee who recognises the value of a challenge, and experiences the personal and professional growth through overcoming the challenge, is an employee who will develop a positive and realistic self-worth, as well as an understanding that personal achievement and business achievement are inextricably linked. Managers have widely divergent ideas about what really motivates the team mates, with some managers ending up in avoidance mode. Most performance problems aren’t dealt with directly.More often, instead of taking action, the manager will transfer the person somewhere else or match the work to his capacity. Most leaders are trying to combine a mix of challenge and support to get the best out of their teams.Achieving this balance is never easy, and is specific to each individual. But in the end, growing others is a worthwhile effort for both noble and self-interested reasons. It’s personally rewarding to help others accomplish more than they’d thought possible. Raise the barRaise the bar, create a sense of internal competition, differentiate and pay for performance and reward excellence. Performance differentiation is the best way to motivate the high performers.When an organisation creates such a performance culture, employees at the bottom end will have to either catch up to match up or give up the competition and look elsewhere. Managers should distinguish those who would like to stay in the game from people who are unwilling to compete and deal with the two categories appropriately.Challenging employees can also provide the benefit of increasing their level of job satisfaction. There are a number of ways to challenge an employee; whichever method you use, make sure the employees feel like the process is intended to help them and not to penalise anyone.Job rotation is a good way to build capacity in employees and it prevents the boredom and stagnation that can occur from repeatedly performing the same tasks. Job rotation challenges and stimulates workers by offering them the opportunity to learn new job functions and develop their skills, which also makes them more valuable assets to your organisation. Workers who seek advancement opportunities may view job rotation as a way to become more attractive managerial candidates, as they will develop a broader perspective of how the organisation functions.Performance feedbackEncouraging innovation and creativity can lead to ideas that can help your business grow. Challenge your employees to become innovators by starting an idea generation program where employees are rewarded for ideas that are eventually adopted and implemented by your company.Rewards can take the form of monetary compensation or public recognition, or the opportunity for the creator to lead a team charged with bringing the idea to fruition. Increase employee engagement by involving them in the decision-making process.For instance, have a trusted employee sit in on a job interview to provide input about the candidate’s suitability for the position, as well as how he might fit in with the team. By increasing your employees’ engagement level, they will feel they have a greater stake in the direction of the company, which can challenge and motivate them. Managers have tremendous power simply by being in a position of authority, and can use their words to influence how others view themselves. The act of expressing belief in your employees and focusing on setting high, but achievable standards for them has real repercussions. When we communicate to an employee, we too often leave out the potential we see in them to be successful. We may challenge them but not say why we’re sure they can do it. Instead, consider the idea that if you see something praiseworthy, innovative, or potential-enhancing from your team members, call it out."
18 October 2020,AIA Insurance Wealth Planners recognised by IQA,"AIA Insurance congratulated 12 Wealth Planners for the distinguished achievement of qualifying for the International Quality Awards (IQA) 2019.Presented by LIMRA talent solutions international, the IQA motivates and rewards agents who contribute to a company’s success through their sales volumes and quality of business.AIA congratulates and commends P. H. Rasika Sandakelum (Colombo Region 4), H. Rangika Laganthi (Colombo Main), K. D Suranga Perera (Negombo Region 1), M. Sarath Jayalal (Maharagama), T. Malathi Herath (Colombo Main), U. A. M. Sanjeewani Somarathna (Kandy), D. N. Himali Perera (Ragama City), D. Ruklanthi Gunasekara (Homagama), S. Ramanayake (Nugegoda), H. M. B. G Shashika Herath (Kegalle Region 2), K. C. N. Ferdinando (Nugegoda) and A.H. O. D Jayaweera (Colombo Region 1) for achieving the IQA Award.Qualifiers are judged on their performance in both production levels and persistency rates. The qualification rules for the International Quality Award are based on production of at least 30 policies written in two consecutive years and a 13-month persistency rate of at least 90 percent on individual life and personal pension (annuity) business issued and paid for during a calendar year. The IQA is recognised as one of the highest awards in the life insurance industry and is a measure of professionalism, competence and leadership. Qualifiers earn both international and domestic recognition and can use this award to demonstrate their professional credentials to prospective and existing customers.AIA’s CEO Nikhil Advani said, “I am absolutely delighted that 12 of our Wealth Planners have achieved the global IQA recognition. LIMRA IQA demonstrates the outstanding performance of our Wealth Planners who have consistently provided customers with relevant solutions, above par customer service and have maintained a very high-quality business. It is Wealth Planners like these award winners that makes AIA the Best Life Insurance Company in Sri Lanka.”Deputy CEO and Chief Agency Officer Upul Wijesinghe said, “We were the first and only insurer in Sri Lanka to receive the Growth in the World -International Quality Award in 2018 and have since worked hard to remain worthy of that prestigious recognition. My congratulations to the qualifiers of this latest recognition which reflects the high quality of our Wealth Planners and their commitment to customer focus and superior service.”Senior Vice President and Managing Director for LIMRA, Ian J. Watts said, “AIA Insurance has repeatedly shown that it values its agents who understand the importance of new customer acquisition and high persistency rates - which is without doubt, imperative for the success of the business.For the continued prosperity of the Sri Lankan insurance industry, and the industry in the rest of the world, we encourage other companies to follow AIA’s leading example.”The IQA was introduced in 1960 to recognize the outstanding performance of agents who promote quality business on a consistent basis, while providing superior customer service.It is recognised worldwide as a mark of professional excellence in the insurance industry."
26 July 2020,  Tech savvy job losers to gain during crisis,"The loss of jobs during the pandemic can be converted into a golden opportunity by boosting entrepreneurship among those who are out of jobs, Co-Founder and CEO of Takas.lk, Lahiru Pathmalal told Sunday Observer Business.The owner of the popular e-commerce platform said that being technology savvy will be an added advantage when doing business amidst the covid crisis.""My advice, if you have lost your job and are redundant, is to use the time to look at entrepreneurship with special attention to technology. For instance, if you have some basic knowledge of coding, you are on a  good wicket,"" he said.As major companies are showing a lacklustre attitude to  develop e-commerce platforms, Pathmalal believes that young entrants to the industry have a better chance to succeed.  “In the best case scenario people would buy things online while working from home. But to derive maximum benefits a strong emergence of e-commerce is necessary. But such an emergence is really challenging. Even big supermarket chains are pleased to see people walk into their outlets. At Takas we sell electronic products. Even though we wish to get into retail business, it is hard for us,” Pathmalal said adding, “There is a strong possibility of another lockdown soon after the election. Hence the market opportunity for e-commerce is high. Therefore, in the next 18 to 24 months if you are to sell something, e-commerce is a definite recipient.”Asked about assistance from the local banking system to online entrepreneurs during the pandemic, Pathmalal said, “The problem primarily is the fact that there is no cash flow in businesses."
27 September 2020,CSE and SEC launch real estate investment trusts,"The Colombo Stock Exchange (CSE) and the Securities and Exchange Commission of Sri Lanka (SEC) launched Real Estate Investment Trusts (REITs) which gives average investors an opportunity to reap the benefits of real estate investments and the advantages associated with investing in publicly traded securities on the CSE.While investing in real estate appears to be a popular choice, the rising cost of property poses a significant challenge to individual investors who typically resort to bank loans to finance such investments.This timely introduction by the CSE and SEC provides greater access to all investor segments to invest in commercial real estate projects and an opportunity to benefit from the spiraling property prices.REITs were first introduced in the United States in 1960 creating a mechanism for individual investors, especially middle-income earners, to generate income by investing in large commercial real estate. This product has made rapid progress within Asian markets as well with its growing popularity especially in Thailand, Malaysia and India and is also viewed as a mechanism to broadbase real estate ownership within a country. A REIT is a structure which typically owns and operates income-generating real estate. The income-generating real estate assets owned by a REIT may include office buildings, shopping malls, apartments, hotels, resorts, self-storage facilities and warehouses.A REIT would enable unit holders to earn a portion of the income that is generated through renting, leasing or selling these properties which needs to be distributed directly to the unit holders of the REIT.The CSE and SEC have introduced a framework which mandates the distribution of 90% of the generated income to investors.This innovative introduction, which has been formulated specifically taking into consideration the local environment, would open new horizons for real estate developers and owners to convert completed income generating projects into a REIT, have its units listed on the CSE following the mechanism now made available to them and have them publicly traded in the secondary market, similar to equity securities listed on the CSE.The framework for REITs has been introduced by the SEC via rules made by the SEC in terms of Section 53 and 13 of the SEC Act which came into effect on July 31, in the form of a Gazette notification.The comprehensive set of SEC rules will govern the overall mechanism of REITs in Sri Lanka. The CSE has also formulated Listing Rules for the listing of units of REITs. A REIT would enable investors to further diversify their portfolios by investing in this lucrative investment vehicle which would produce long-term returns. Investors would benefit from a stable stream of income, swift entry and exit route through the secondary market and also benefit from the returns of overall real estate asset appreciation.The economy at large would also benefit from the introduction of REITs with the anticipated creation of jobs, economic growth, increased tax revenue, liquidity through listing and would also attract foreign direct investments into the country. REITs would also need stronger corporate governance and increased transparency which would help the investor community and regulatory bodies to assess the viability and quality of projects.Similar to any stock market investment, the investor needs to take into account his or her own financial status and also consult an investment advisor before making an investment decision.A review can also be carried out on the REIT’s disclosure filings, including the annual and quarterly reports, before investing in REITs.The CSE and SEC will continue to focus on setting up a more conducive environment along with the regulatory authorities to facilitate greater company and investor participation."
29 December 2019,Opinion : Global crisis on the horizon,"The situation in the financial markets in the US and Europe seems to point to a far more bigger global crisis looming on the horizon. The banking sector, in particular, with the envisaged zero and negative interest rates, poses a threat to depositors at large because they stand to lose interest gains as clients will have to pay banks for simply parking their cash.The capital of clients will see a decline over the years with increasing negative interest rates now being contemplated. The core business of commercial banks is lending and earning a profit on interest. With a zero interest scenario, the outlook for this type business is grim, and it looks as if the prognosis of Bill Gates is now becoming more a reality.Twenty years ago, Bill Gates remarked, “Banking is necessary, banks are not”, as if he had foreseen the current trends emerging with the appearance of Bitcoin, PayPal, Apple Pay, Google Pay and Libra – the latest crypto currency invention of the Facebook Group.Europe and the US are simply over-banked, and as a result, the natural correction through market reactions is now happening exactly as predicted. Banks, on the other hand, have no options as a sudden increase of interest rates would automatically trigger a domino crash effect for approximately 15% of commercial enterprises in the EU region alone.The 15% comprise commercial enterprises categorised by rating agencies as ‘zombies’, and under normal market conditions should have long gone bust. Instead, they are artificially kept alive and the low bank interest rates keep them going for now.There are clear indications that many big commercial banks are in deep trouble. In Germany, the second biggest bank Commerzbank recently announced 8,000 job cuts throughout its branch network.The popular German rural bank chain Sparkasse is poised to merge with the second biggest rural bank chain Volksbank by cutting 20% of their existing branches across Germany. Banks generally merge when the markets don’t provide sufficient business to them.One of the most critical indicators on where the banking sector stands is reflected in the Repo market, which means Re-Purchasing Market. It’s the Repo market, which provides short-term funding that banks and financial counter-parties regularly tap to lend each other trillions.This vital sector has suddenly hit financial news headlines for all the troubling reasons. Usually, big commercial banks lend substantial amounts of money under a ‘one night lending scheme’ to one another. This business of short, overnight lending goes largely unnoticed in the US though the cash volumes are enormous, ranging anything between US$ 30 and 40 billion on a single night transaction.The banks lend on collateral securities, which are bonds in general, to another bank and vice versa, while the interest rates have generally remained in the range of 2% to 3% for the past 10 years. Some weeks ago, even to the surprise of the US FED, the demand for one-day overnight Repo’s went through the ceiling with volumes spiking to US$ 70 billion plus and collateral interest asked for going up to 10%. And as at today, the current lending ratio has hit the ceiling with more than 100 billion USD for an overnight lending scheme.Higher interestBanks generally ask for higher interest rates if the risk scenario demands it and the assessment of the credibility of banks correlates in general with the interest rates. But what is the Repo market, anyway, and why has the Federal Reserve Bank injected hundreds of billions of dollars into the financial system to stabilise it?Repo’s (short for repurchase agreements) are short-term borrowing transactions, often made overnight. Think of them as trades of cash for some kind of collateral. In a Repo transaction, the borrower will sell certain securities in their possession with the agreement to buy them back the following day. If the transaction is not rolled over, then the trade has to be settled the next day, with the borrower repurchasing the collateral from the lender for slightly more than it had previously sold it for, compensating the lender with interest for taking on the risk.Large corporations and banks typically hold vast quantities of highly liquid financial assets, and they use the markets as a means of quick and easy financing. In fact, there are over $1 trillion worth of overnight Repo transactions collateralised with the US government debt occurring daily. Banks frequently go to these markets to fund the loans they issue, and to finance the trades they execute.The Repo market seized up end of September 2019 with median repurchase rates skyrocketing from the usual band of 2.00-2.25% to 2.46% and 5.25%. Keep in mind, that’s the median rate. Some Repo rates were as high as 9%, more than quadruple the Federal Reserve’s own target rate, which usually puts a cap on how high Treasury REPO rates could climb.The big demand was explained as an unlucky confluence of events, including an exceptionally large demand for cash from US companies that needed to pay their corporate tax bills, sucked in a lot of the available cash out of the financial markets. However, these periodic tax bills occur year by year and quarter yearly, but nothing of this nature had happened during the past 10 years after the 2008 crash.That’s supply and demand, plain and simple, and it mirrors what happened in certain Repo markets in 2007 before the housing crash and the Great Recession that followed. So, what happened to the usual abundance of cash and liquid securities that powers the trillion-dollar Repo market?It has been gradually evaporating for some time since the Fed ended the policy of quantitative easing (QE) five years ago; its maneuver to buy highly liquid bank securities to boost overall bank reserves. The thinking (and hope) of the controversial policy was that the increased liquidity would encourage banks to lend more and spur economic growth at the depths of the downturn.Bank reservesSuch accommodative actions have been seen for some time now, and total bank reserves have steadily been decreasing. They peaked in August, 2014, and are now close to where reserves were in 2011. One principle reason for this was an elevated level of government debt issuances in the past four years, which sucked reserves out of the financial system.When a squeeze like the one witnessed at end September occurs, it’s a clear indicator that there aren’t enough reserves in the financial system for Repo markets to clear at the Fed’s preferred level — in central bank parlance, the ‘target rate’ or the FED Funds rate. That explains why the central bank has been engaged in open market operations to inject reserves back into the banking system through overnight purchases of Treasuries.Even though the Fed has routinely used open market operations in the past to stabilize the funding markets, it doesn’t look like a few routine interventions will be sufficient.It’s becoming increasingly clear that banks need more reserves on hand. The Fed pledged to allow around two more weeks of overnight Repo transactions, each injecting around $75 to 100 billion daily into the economy, the Federal Reserve Bank of New York said in a recent news release.As plumbing problems go, this will be an expensive one to sort out or an indication that the ‘Big Crash’ is happening soon.Coming back to the European scenario, on the German Banks Index, the picture and the statistics are more than alarming. The Banking Index in between 2005 and 2009 showed at its highest over 700 points to crash. At the end of 2009, it was down to a mere 89 points.In 2019, the German Banks Index even surpassed the lowest Bank Index of the crash period in 2009, and records 65 points, as at today. The miracle is that the banks are still operative, no bailouts as such have happened though the sector has already virtually gone bust.Coming to Sri Lanka’s banking sector, it should be examined to what extent the country is exposed and will be affected by a possible banking crash in the US and Europe. How deep are Sri Lanka’s banks exposed to adventures into risky or highly speculative overseas investments is hopefully under the strict control of Sri Lanka’s Central Bank. The Ceylinco crash hopefully taught us a good lesson.The writer is a German investor, tourism promoter and social scientist based in Sri Lanka "
12 June 2021,Natural disasters and business response,"The Covid-19 challenge was compounded by the torrential rains in 10 districts ravaging assets and amplifying challenges for businesses. We don’t know what is next.The frequency and magnitude of natural disasters are on the rise beyond comprehension, costing enormous amounts of money and also severely impacting the lives of humans, animals and the environment.  Recovering from a disaster of this magnitude demands a huge effort and is usually a gradual process. Safety is the primary issue, as are mental and physical well-being. The emotional toll that disaster brings can sometimes be even more devastating than the financial strains of damage and loss of home, business or personal property. The stress caused following a natural disaster can lead to burnout and physical, mental and emotional exhaustion. Action planSurely you need to develop an action plan - decide who’s going to do what and when. Summarise your financial situation and discuss your options with your bank or financiers to alleviate stress of any financial concerns, so  you will know to draw up your recovery plan after you have assessed the level of physical damage. Psychological recovery leads to physical, so start with a strong mind and emotional strength. Extended family and friends can help you – it makes a difference when you know you have people to share your emotions with. They and strong support networks that come into action in such situations can provide emotional and practical support. Share, explain and tell them exactly how they can help. Economic recoveryIn the wake of climate-related disasters, rebuilding is never a matter of putting back the structures that were there before. It needs to address the intangible, too, beginning with carefully considered strategies for economic recovery.In plotting a way forward for economic recoveries in the future, there are important and useful lessons to be learned from the past events and experiences.Such disasters are often seen as providing a chance to “build back better” — better housing, roads, schools and hospitals for the long term.Rebuilding housing and public infrastructure to higher standards of safety that reduce disaster risk is vital.  It minimises human and economic losses in future events and helps soften the fear and trauma of survivors as they re-emerge into social and economic life. Building back better is sometimes seen as an opportunity for a disaster-struck country to make a ‘developmental leap’ by creating, for instance, more solid infrastructure that would not have existed in the absence of the disaster. If this is not done in a way that matches the availability of local capabilities, however, recovery will falter. So ‘building back adequately’ could be what is most needed for ravaged economies.Help othersThe speed of recovery matters but quality of recovery is equally important as it’s the quality that will determine the rate of success.Devastation of this scale demands a coherent effort. The Government or any single organisation cannot single handedly help in this situation. Every single person has a contribution to make. Even the most developed countries need assistance for the affected from the non-affected in multiple ways.We have already seen many heartwarming examples. Sri Lankans have repeatedly proved that we are a nation that naturally comes together leaving behind all differences to help each other. Helping another at a time of such need is the best thing a human can do. Do your utmost generously in kind, manpower and time. The underlying theme of sustainability is growing together for everyone’s well-being."
14 February 2021,CDB wins Service Brand of the Year award at SLIM Brand Excellence 2020,"Citizens Development Business Finance PLC, the revolutionary financial institution ranked as one of the top 05 NBFIs in the country; brought home the “Service Brand of the Year” Bronze award at the recently concluded SLIM Brand Excellence Awards Ceremony 2020, a well-deserved recognition for their pioneering initiatives towards the Finance sector in the country to build a smart and sustainable Sri Lanka.The SLIM Brand Excellence, applauds and honours corporates for outstanding performances in their specific sectors, recognizing consumer-driven ground-breaking initiatives on a national level with the aim of encouraging local corporates to reach global standards.CDB is an organization that strongly believes in sustainable business processes and focuses its approach on People, Planet & Profit. A strategic pitch about the company’s purpose driven business model, which was designed to empower aspirations and bring convenience to its customers through digital transformation, championed at this year’s selection. CDB believes in offering its customers techno backed solutions, further reducing its carbon footprint and taking forward their goal of building a smart and sustainable Sri Lanka."
21 February 2021,Business picks up in Colombo,"Business activities have gradually picked up in Colombo with normalcy and stability being restored to a certain extent. However, eeking out a living for many especially small scale businessmen seems to be a daunting task as consumer appetite has withered due to the drastic drop in the purchasing power of many. Here goods being transported to groceries in Pettah. Pic: Wimal Karunatilleka"
3 January 2021,Injecting money has short-term benefits but risky in the long run - Economist,"The Modern Monitory Theory (MTT) which the Government considers a solution to the debt crisis could be beneficial in the short-term but risky in the long term, said Dr. Anil Jayantha of the University of Sri Jayawardenepura.MMT is a strategy associated with financialisation which in turn pumps excessive cash into the economy, he said. It is clear that the biggest issue the Government is facing is the debt crisis and under the present state of the economy the Government has limited solutions. The Government is turning to MMT which means printing money as it needs to finance Government expenditure on the assumption that such expenditure will boost the economy. But the risk of this policy is that it could lead to hyper-inflation or a bubble crash, he said.According to the Central Bank, the Government expects to cut the share of foreign debt to 40 percent in 2021 from 45 percent in 2020. Mathematically this would be true when the proportion of local borrowings is increased. However, the country needs to earn foreign currencies to settle foreign loans and will not be able to repay foreign debts by printing local currency. Countries such as the USA can do this as the dollar is accepted globally and eventually a dollar note becomes a commodity.“The Government’s ability in foreign borrowings has been limited as the credit rating of the country has been downgraded to risky level. Hence, International Sovereign Bonds (ISB) has limited demand.“It is evident from the fact that the Government was unable to issue a single ISB in 2020 even though it has been issuing ISB continuously from 2009. Then the only option available to the Government is to borrow locally. “With the knowledge of the Government’s ability to print money, creditors are understandably willing to accept mostly lower returns but at low risk on Government Bonds than on other investments and help the growth of the economy. This is a basic argument on the advantage of MMT, Dr. Jayantha said.There is a theoretical argument on this strategy as the excess money is expected to create more jobs, push the aggregate demand up, increase production and then achieve economic growth. These assumptions would hold good only under certain situations and only for a short period. At this juncture in Sri Lanka, what matters is not simple injection of cash in to the economy but implementation of a comprehensive and integrated plan to increase production based on local demand and changing global demands and opportunities.Additional cash pumped would either be idle or beat around the stock market and further pave the way for more corruption and will never have an assurance of achieving economic growth. It seems like the Government has simply taken only the theoretical arguments behind MMT in to consideration and not the prevailing situation of the country, Dr. Jayantha said. Of cause any Government can print money excessively to meet government expenditure by disregarding dare economic consequences for which people will have to pay the price collectively.This strategy does not have any solution even theoretically to face the foreign debt crisis as local money printing will never honour settlements of foreign debts which have to be settled in foreign currencies. However, he said that there are limitations and serious negative consequences. Economies such as Sri Lanka are more likely to end up with a crisis of currency devaluation, debt default and hyperinflation."
25 July 2021,DFCC Bank unveils loan scheme to boost agri business,"DFCC Bank has introduced ‘Krushibala’ credit scheme to assist SMEs and Corporates engaged in the local agricultural and related sectors. The scheme introduces loan facilities of up to Rs. 100 mn, with payment periods of 5 to 7 years based on the type of loan, at a concessionary fixed interest rate of 7% per annum. The core objective of the scheme is to enable and empower SMEs in the Agriculture and related sectors and build a strong platform through which they may work towards overcoming and rebounding from the difficulties faced due to the on-going Covid-19 pandemic.  Loans under this scheme can be obtained for cultivation (tea, rubber, coconut, floriculture, rotational crop cultivation, inter cropping), livestock, dairy, agriculture processing (rice milling, grain legume processing, fruit and vegetable processing, dehydration), warehousing and enhancing storage facilities, development of commercial agriculture and hi-tech agriculture and introducing and capacity enhancement of organic fertiliser manufacturing.The Bank is committed to support organic fertiliser manufacturing through this scheme at a historic time when the country is transforming to organic farming. Therefore, the financial support to entrepreneurs and enterprises that are venturing out to meet the demand of organic fertiliser is crucial at this juncture. "
4 July 2021,"Colombo Port City: Wake up, dream on to reality – Part 1","This article provides an overview on the recent talk of the town “The Colombo Port City”. This may appear to be mind-numbing or may not be interesting owing to the fact that it is imperative to include a few economic terms and jargon to emphasise on the real or practical meaning or the importance of the same. No theories or law points are discussed here as the intention was to shed a light on salient features and a simple understanding to layman on the Project. It is my personal belief that many people are holding on to different opinions on the Project whether favourably or unfavourably as a consequence of unacquaintance or no or little access for right information. Some accuse China gratuitously and wrongfully portraying a ‘debt-trap diplomacy’: enticing poor, developing countries into agreeing for large scale development projects backed by unsustainable loans so that they can acquire the assets on default resulting unimpeded military reach for which the evidence are very little as oppose to the colonials we had thus far around the world.Some are under the impression that we are a country blessed with a vast range of natural resources reserves such as petroleum, gas, uranium, gold, coal, copper and silver. And further are in the belief of that such resources are readily available for us to reap the benefits and to be secluded from the rest of the world. But the reality is that we are only in possession of graphite as a deposit of mineral and forests with least disturbed and biologically unique and very high level of diversification as natural resources. North Korea is currently holds the largest and one of the finest available graphite reserves. However, owing to closed economic policies and as they are isolated from rest of the world, they send part of their production only to the Chinese market. Hence we are fortunate enough to be retain our position among the first ten producers in the world for graphite. Except graphite, we are not in possession of any such valuable, marketable and natural resources reserves with scale advantages. Hence, it is a must for a country like us to find alternative avenues to source dollar income. In this sense, “The Colombo Port City” will emerge as a golden opportunity for us to make a major leap in the economy. Below are the reasons for me to bear such a view in this regard. What is “The Port City”?The Port City or the Colombo Port City is a man-made island (Reclaimed land) located adjacent to the Galle Face Green, Colombo which is currently under the development by CHEC Port City Colombo (Pvt.) Ltd. (CPCC). Land reclamation is a process of creating a new land raising the elevation of a water-bed or a low-lying land. The Palm Jumeirah of Dubai is a well-known and classic example for one such successful development.Even though we call it “Port City” in short, the entity’s lawful name is “The Port City Colombo Development Project (PCCDP)”. It is a project by The CHEC Port City Colombo (Pvt.) Ltd. with an initial investment as gigantic as USD 1.4 billion which planned in reclaiming 269Ha of land. It is planned to be utilised as a “Specialized Economic Zone” which is a new and widely used in most developed and developing economies as an investment promotion tool. After a fairly long embryonic gestation period, the project’s land reclamation was over by 2019. Currently the basic infrastructure is being developed. As per the Development Control Regulations (DCR), the reclaimed land will comprise Gross Floor Area (GFA) of 6.9Mn sq.m. (including car parks) which includes commercial space, retail space, residential, hospital, convention, exhibition centre and hospitality with state of the art social infrastructure. It is a Public Private Partnership (PPP - Public - Private Partnership involve collaboration between a government or its agency and a private-sector company that can be used to finance, build and operate projects) arrangement with the Government of Sri Lanka and CHEC Port City Colombo Pvt Limited to invest USD 1.4Bn in return for 99 years leasehold rights for 116Ha of reclaimed land (the total extent is 269Ha). CHEC Port City Colombo Private Limited is a subsidiary of China Harbour Engineering Company (CHEC) and Communications and Constructions Company Limited the (CCCC) is the parent company of CHEC. CCCC is a multinational engineering and construction company with its global presence across 135 countries and possesses about 103 branches and offices to serve them. CCCC is an internationally renowned company which is listed on Hong Kong Stock Exchange and the Shanghai Stock Exchange. The CCCC was ranked as the 93rd by Fortune 500 Companies in 2019. It was positioned third by the Engineering New record (ENR) out of 250 international contractors in 2018.The Shantou New East Coastal Area Development Project and Guangzhou Nansha New District Development Project are some most notable work done by the CCCC. The CCCC has its presence in Sri Lanka since 1998. They contributed to projects such as Southern Highway, Outer Circular Highway, Hambantota Port, Mattala Airport and Colombo South Container Terminal. In an economic perspective, it can be envisaged that the Port City would result in having significant positive impact on creating employment, attracting FDIs, contribution towards GDP, managing BOP and increase in government income. Employment opportunitiesThe reclamation, infrastructure development and attracting investors are being done now and at this stage, it is expected to create 6,400 employment opportunities and with related to construction, it will be about 160,172 man-hours (direct and indirect) and creation of  skilled and unskilled job opportunities over 210,355 is expected. The job opportunities will be created in sectors such as hospitality and leisure, education, health and retail.When looking at Foreign Direct Investments (FDIs), at the reclamation and common infrastructure development stage, it is estimated to receive USD 4.1Bn (including the initial investment of USD 1.4Bn by CPCC). Thereafter it is expected to attract USD 2.7Bn through land leases. (Rs. 13Mn p.p which may differ at the time of enacting the actual lease). During the construction stage it is planned to attract USD 5.6Bn (assuming at least 75 percent of the construction cost being foreign funded) and when the entities commenced the operations, it is expected to reinvest about USD 0.7Bn per annum back within Sri Lanka. The value addition for GDP through the CPC is twofold; i.e. investment and consumption. During the phase of reclamation and infrastructure development, construction and leasing out the lands, it is anticipated to contribute USD 4.6 Bn and USD 13.0Bn. And through the operational stage, it is expected to have USD 11.8Bn annually mainly by the rent income of retail, commercial and residential space with the Port City. Even though the construction stage consists of considerable outflows arising through importation of raw materials for construction, this will get offset with the recurrent rent income inflows over the space. When considering the export services, inbound tourism spending as well, we can expect the total cash flows to pave a way to a considerable positive impact towards managing Balance of Payment.  Government revenue inflows can be derived through lease rent over marketable land, import duties, income tax, value added tax, and licensing fees and expected to be around USD 0.8Bn.Incorporating the concept of township planning, the total land extent has been divided into five distinctive zones as per the Development Control Regulations (DCR), namely the Financial District - 40Ha, Marina District - 15Ha, Central Park Living - 95Ha and Central Living - 85Ha. Upon the completion of the land reclamation, the project was officially handed over to the Urban Development Authority (UDA) in October 2019.As mentioned earlier, a tripartite agreement has been entered in to by the GoSL, CPCC (CHEC Port City Colombo Private Limited) and Urban Development Authority (UDA and Ministry of Megapolis and Western Development).The GoSL holds 57 percent of the reclaimed land (Common area 34%, marketable land 23% ) and as the developer and in return to the investment they made, 43% of the reclaimed land is held by CPCC on a 99-year lease basis. The CPCC is to be involved in sales and marketing and setting up the Estate the Management Company (EMC - joint venture between CPCC and GoSL to maintain common infrastructure) and the development of International Financial Centre.  The Port City Colombo the joint investment project by CHEC and GoSL will undeniably become a golden turning point of the economy of Sri Lanka. To be continued next week"
