Sentence,Organizations
the Domestic Operations Department,refrained from,conducting
(DOD,the Domestic Operations Department of,the Central Bank of Sri Lanka
the Society,ensured As,a leading finance and investment fraternity
the Society,ensured As,a leading finance and investment fraternity
CFA Society Sri Lanka,continue Towards, 
CFA Society Sri Lanka,continue Towards,that goal
Best Outsourcing Service Provider to Capital Markets,announced in,2021
Best Outsourcing Service Provider to Capital Markets,announced in,2021
Niran Fonseka BSc Finance,25+ hours of,weekly virtual training sessions
Niran Fonseka BSc Finance,25+ hours of,weekly virtual training sessions
Niran Fonseka BSc Finance,25+ hours of,weekly virtual training sessions
Niran Fonseka BSc Finance,25+ hours of,weekly virtual training sessions
Niran Fonseka BSc Finance,25+ hours of,weekly virtual training sessions
Union Assurance,continued In, 
Union Assurance,continued In,addition
Union Assurance,continues With, 
Union Assurance,continues With,76 branches
(LLB,Attorney at,-
(LLB,Attorney at,Law
(LLB,Attorney at,-
(LLB,Attorney at,Law
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
DOD, The Domestic Operations Department of,the Central Bank of Sri Lanka
DOD, The Domestic Operations Department of,the Central Bank of Sri Lanka
DOD, The Domestic Operations Department of,the Central Bank of Sri Lanka
the Government,said In, 
the Government,said In,justifying
COVID,increased in,the second quarter
COVID,increased in,the second quarter
its recently ended Secondary Public Offering,fuel In, 
its recently ended Secondary Public Offering,fuel In,addition
its recently ended Secondary Public Offering,fuel In, 
its recently ended Secondary Public Offering,fuel In,addition
its recently ended Secondary Public Offering,fuel In, 
its recently ended Secondary Public Offering,fuel In,addition
the Central Bank of Sri Lanka for Government,declared the Central Bank of Sri Lanka for Government,and
the Central Bank of Sri Lanka for Government,declared the Central Bank of Sri Lanka for Government,sector
the Central Bank of Sri Lanka for Government,declared the Central Bank of Sri Lanka for Government,employees
Capital Alliance,implementing By,introducing
Capital Alliance,implementing By,introducing
Capital Alliance,implementing By,introducing
 Capital Alliance,entered in,2000
 Capital Alliance,entered in,2000
  People’s Bank,joined with,the Kandy Municipal Council
  People’s Bank,joined with,the Kandy Municipal Council
  People’s Bank,joined with,the Kandy Municipal Council
 The Central Bank,introduced with,the intention
 The Central Bank,introduced by,enabling
the Central Bank Domestic Operations Department,drained In, 
the Central Bank Domestic Operations Department,drained In,money markets
the Central Bank Domestic Operations Department,drained during,the week
the Central Bank Domestic Operations Department,drained on,an overnight basis
the Central Bank Domestic Operations Department,drained at,weighted average yields
the Central Bank Domestic Operations Department,drained In, 
the Central Bank Domestic Operations Department,drained In,money markets
the Central Bank Domestic Operations Department,drained during,the week
the Central Bank Domestic Operations Department,drained on,an overnight basis
the Central Bank Domestic Operations Department,drained at,weighted average yields
HSBC,reinstated Among, 
HSBC,reinstated Among,UK banks
the Bank of England,scrapped in,mid-July
HSBC,reinstated Among, 
HSBC,reinstated Among,UK banks
the Bank of England,scrapped in,mid-July
new Foreign Direct Investment,attracting from,India
new Foreign Direct Investment,attracting from,India
new Foreign Direct Investment,attracting from,India
new Foreign Direct Investment,attracting from,India
MMFSL,is With, 
MMFSL,is With,the latest investment
MMFSL,is With, 
MMFSL,is With,the latest investment
MMFSL,is With, 
MMFSL,is With,the latest investment
 IFL, IFL with,a clear focus
 IFL, IFL with,a clear focus
NDB,renewed With, 
NDB,renewed With,the relocation
NDB,renewed With, 
NDB,renewed With,the relocation
NDB,continue With, 
NDB,continue With,its expertise
NDB,continue With, 
NDB,continue With,its expertise
NDB,continue With, 
NDB,continue With,its expertise
 Ceylinco Life,is in,the process
Finance,in from,the University of Sri Jayewardenepura
Finance,in from,the University of Sri Jayewardenepura
the Publications,briefed regarding,the activities
the Publications,briefed regarding,the activities
the Publications,briefed regarding,the activities
the Publications,briefed regarding,the activities
the Publications,briefed regarding,the activities
the Publications,briefed regarding,the activities
Bank Coordinators,appoint from,each bank
Bank Coordinators,appoint from,each bank
Bank Coordinators,appoint from,each bank
Bank Coordinators,appoint from,each bank
 The Bank Coordinators,appointed for,the year
 The Bank Coordinators,appointed for,the year
 The Bank Coordinators,appointed for,the year
: Manjula Prabhanie Central Bank,: Manjula Prabhanie Central Bank of,Sri Lanka
the Domestic Operations Department,commenced in,order
(DOD,the Domestic Operations Department of,the Central Bank of Sri Lanka
the Domestic Operations Department,commenced in,order
(DOD,the Domestic Operations Department of,the Central Bank of Sri Lanka
the Domestic Operations Department,commenced in,order
(DOD,the Domestic Operations Department of,the Central Bank of Sri Lanka
BOC,introduced to,salaried employees
Sustainable Micro Insurance Company’,awarded upon,taking
Sustainable Micro Insurance Company’,awarded upon,taking
Sustainable Micro Insurance Company’,awarded upon,taking
Sustainable Micro Insurance Company’,awarded upon,taking
Sanasa Life Insurance,engaged In, 
Sanasa Life Insurance,engaged In,addition
Sanasa Life Insurance,engaged in,a number
Sanasa Life Insurance,engaged In, 
Sanasa Life Insurance,engaged In,addition
Sanasa Life Insurance,engaged in,a number
 Sanasa Life Insurance,ascended to,the status
 Sanasa Life Insurance,ascended because,of
 Sanasa Life Insurance,ascended because,its role
"Therefore, Sanasa Life Insurance",established in,the minds
"Therefore, Sanasa Life Insurance",established as,an institution
YoY,grew In, 
YoY,grew In,Q2
YoY,grew by,310%
YoY,grew to,$ 288.6 million
YoY,grew to,$ 158.6 million
YoY,grew from,the corresponding quarter of 2020
Operating Profit before VAT on Financial Services,recorded Operating Profit before VAT on,Financial Services
Amãna Bank,completed On, 
Amãna Bank,completed On,1 August
Amãna Bank,completed during,a period
the Voice of Customer (VoC,program into,its core insurance system
the Voice of Customer (VoC,program into,its core insurance system
  AIA Group,announced in,the first half
  AIA Group,announced with,22% growth
  AIA Group,announced to,"$1,814 million"
  AIA Group,announced in,the first half
  AIA Group,announced with,22% growth
  AIA Group,announced to,"$1,814 million"
Better Lives,comes to,life
Better Lives,comes through,our compelling propositions
the Public Enterprises Reform Commission,assisted from,1996
the Civil Aviation Authority,functioned as,a Legal Consultant
the Civil Aviation Authority,functioned to,the Department of Civil Aviation
the Civil Aviation Authority,functioned as,a Legal Consultant
the Civil Aviation Authority,functioned to,the Department of Civil Aviation
the Civil Aviation Authority,functioned as,a Legal Consultant
the Civil Aviation Authority,functioned to,the Department of Civil Aviation
the Civil Aviation Authority,functioned as,a Legal Consultant
the Civil Aviation Authority,functioned to,the Department of Civil Aviation
the Civil Aviation Authority,functioned as,a Legal Consultant
the Civil Aviation Authority,functioned to,the Department of Civil Aviation
", PLC",opened at,its new location
", PLC",opened at,its new location
our Sales Force,pushed As, 
our Sales Force,pushed As,a leading Insurer
Sampath Bank,offering through,the Sampath Special Deposit Account
Sampath Bank,offering through,the Sampath Special Deposit Account
  PAT,amounted to,$ 920 m
  PAT,amounted to,$ 920 m
  PAT,amounted to,$ 920 m
(PAT,tax for,the period
a healthy Capital Adequacy Ratio (CAR,maintained of,298%
a healthy Capital Adequacy Ratio (CAR,maintained above,well
a healthy Capital Adequacy Ratio (CAR,maintained above,the regulatory CAR requirement
a healthy Capital Adequacy Ratio (CAR,maintained of,298%
a healthy Capital Adequacy Ratio (CAR,maintained above,well
a healthy Capital Adequacy Ratio (CAR,maintained above,the regulatory CAR requirement
a National Long-Term Rating,a National Long-Term Rating of,‘
a National Long-Term Rating,a National Long-Term Rating of,BBB-(lka
a National Long-Term Rating,a National Long-Term Rating of,)
ASPL,developing due,to
ASPL,developing due,its dependence
 ASPL,weighs on,its credit profile
Fitch,incorporates in,our assessment
 Fitch,views as,sensitive
Dilshan Wirasekara First Capital Holdings PLC,recorded After,Tax
Dilshan Wirasekara First Capital Holdings PLC,recorded compared,to
Dilshan Wirasekara First Capital Holdings PLC,recorded compared,due
(PAT,Tax of,$ 136 million
(PAT,Tax for,the first quarter of 2021
Dilshan Wirasekara First Capital Holdings PLC,recorded After,Tax
Dilshan Wirasekara First Capital Holdings PLC,recorded compared,to
Dilshan Wirasekara First Capital Holdings PLC,recorded compared,due
(PAT,Tax of,$ 136 million
(PAT,Tax for,the first quarter of 2021
Dilshan Wirasekara First Capital Holdings PLC,recorded After,Tax
Dilshan Wirasekara First Capital Holdings PLC,recorded compared,to
Dilshan Wirasekara First Capital Holdings PLC,recorded compared,due
(PAT,Tax of,$ 136 million
(PAT,Tax for,the first quarter of 2021
Dilshan Wirasekara First Capital Holdings PLC,recorded After,Tax
Dilshan Wirasekara First Capital Holdings PLC,recorded compared,to
Dilshan Wirasekara First Capital Holdings PLC,recorded compared,due
(PAT,Tax of,$ 136 million
(PAT,Tax for,the first quarter of 2021
a PAT,recorded as,against
a PAT,reported as,against
a PAT,reported in,the previous year
First Capital,maintains as,of
Abans Finance,announced on,10 August
Abans Finance,announced on,10 August
Abans Finance,announced on,10 August
SCAP,acquire from,Abans PLC
Abans Finance,amalgamate with,SCAP’s majority-owned Softlogic Finance PLC
SCAP,acquire from,Abans PLC
Abans Finance,amalgamate with,SCAP’s majority-owned Softlogic Finance PLC
SCAP,acquire from,Abans PLC
Abans Finance,amalgamate with,SCAP’s majority-owned Softlogic Finance PLC
SCAP,acquire from,Abans PLC
Abans Finance,amalgamate with,SCAP’s majority-owned Softlogic Finance PLC
SCAP,acquire from,Abans PLC
Abans Finance,amalgamate with,SCAP’s majority-owned Softlogic Finance PLC
SCAP,acquire from,Abans PLC
Abans Finance,amalgamate with,SCAP’s majority-owned Softlogic Finance PLC
SCAP,acquire from,Abans PLC
Abans Finance,amalgamate with,SCAP’s majority-owned Softlogic Finance PLC
SCAP,acquire from,Abans PLC
Abans Finance,amalgamate with,SCAP’s majority-owned Softlogic Finance PLC
Fitch,placed on,the company
Fitch,placed on,the company
 Abans Finance,is due,to
 Abans Finance,is due,its small franchise
 Standard Chartered Sri Lanka Head, Standard Chartered Sri Lanka Head of,Consumer
Unit Trust Funds,accessible to,a whole new generation
Unit Trust Funds,accessible to,a whole new generation
Softlogic Invest,offers With, 
Softlogic Invest,offers With,"a simplified, six-step digitised solution"
Softlogic Invest,was among,the top five asset management companies
Softlogic Invest,was in,terms
Softlogic Invest,was among,the top five asset management companies
Softlogic Invest,was in,terms
Softlogic Invest,was among,the top five asset management companies
Softlogic Invest,was in,terms
Softlogic Invest,changed As,entrant
Softlogic Invest,changed within,just a year
 NDB,achieved amidst,challenging
 NDB,achieved during,the first half of 2021
 NDB,achieved with,enhancement
  National Development Bank PLC,awarded at,the International Finance Awards 2021
Best Islamic Finance Bank,awarded at,the International Finance Awards 2021
  National Development Bank PLC,awarded at,the International Finance Awards 2021
Best Islamic Finance Bank,awarded at,the International Finance Awards 2021
  National Development Bank PLC,awarded at,the International Finance Awards 2021
Best Islamic Finance Bank,awarded at,the International Finance Awards 2021
  National Development Bank PLC,awarded at,the International Finance Awards 2021
Best Islamic Finance Bank,awarded at,the International Finance Awards 2021
 NDB, NDB to,an array
 NDB, NDB to,an array
NDB,tapped In, 
NDB,tapped In,line
NDB,tapped through,mobilising deposits
NDB,tapped through,the Araliaya proposition
NDB,tapped In, 
NDB,tapped In,line
NDB,tapped through,mobilising deposits
NDB,tapped through,the Araliaya proposition
 The Bank,expanded to,its Islamic Finance customers
 The Bank,expanded through,NDB Shareek
 The Bank,expanded to,its Islamic Finance customers
 The Bank,expanded through,NDB Shareek
 The Bank,expanded to,its Islamic Finance customers
 The Bank,expanded through,NDB Shareek
‘Islamic Bank of the Year,awarded amid,strong competition
‘Islamic Bank of the Year,awarded amid,strong competition
‘Islamic Bank of the Year,awarded amid,strong competition
‘Islamic Bank of the Year,awarded amid,strong competition
 NDB,been with,together
 NDB,been with,its deep industry insights
 The Bank,doing since,2015
 The Bank,doing under,Islamic Banking – NDB
 The Bank,doing since,2015
 The Bank,doing under,Islamic Banking – NDB
the Bank,granted for,the energy sector
the Bank,granted for,the energy sector
’s Best Bank,‘Sri Lanka by,the prestigious Global Finance Magazine
’s Best Bank,‘Sri Lanka by,the prestigious Global Finance Magazine
’s Best Bank,‘Sri Lanka by,the prestigious Global Finance Magazine
’s Best Bank,‘Sri Lanka by,the prestigious Global Finance Magazine
’s Best Bank,‘Sri Lanka by,the prestigious Global Finance Magazine
’s Best Bank,‘Sri Lanka by,the prestigious Global Finance Magazine
NDB Group,positioned towards,assisting
The Commercial Bank of Ceylon,recognised as,Sri Lanka
The Commercial Bank of Ceylon,recognised at,Awards
The Commercial Bank of Ceylon,recognised as,Sri Lanka
The Commercial Bank of Ceylon,recognised at,Awards
The Commercial Bank of Ceylon,recognised as,Sri Lanka
The Commercial Bank of Ceylon,recognised at,Awards
The Commercial Bank of Ceylon,recognised as,Sri Lanka
The Commercial Bank of Ceylon,recognised at,Awards
the Bank,proposed With, 
the Bank,proposed With,the aim
the Bank,employed With, 
the Bank,employed With,the intention
Asian Development Bank,Global Trade Finance Programme of,the International Finance Corporation
Commercial Bank,was as,a member
Asian Development Bank,Global Trade Finance Programme of,the International Finance Corporation
Commercial Bank,was as,a member
Asian Development Bank,Global Trade Finance Programme of,the International Finance Corporation
Commercial Bank,was as,a member
Asian Development Bank,Global Trade Finance Programme of,the International Finance Corporation
Commercial Bank,was as,a member
Asian Development Bank,Global Trade Finance Programme of,the International Finance Corporation
Commercial Bank,was as,a member
  Union Assurance Chief Distribution Officer Senath Jayathilake Union Assurance PLC,set with,the launch
the Union Assurance Premier Club,set with,the launch
  Union Assurance Chief Distribution Officer Senath Jayathilake Union Assurance PLC,set with,the launch
the Union Assurance Premier Club,set with,the launch
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 43.3 b
Union Assurance,continues With, 
Union Assurance,continues With,76 branches
 The Board,announced upon,completion
 The Board,announced upon,completion
 The Board,announced upon,completion
the Union Bank Board,served since,2017
the Union Bank Board,served as,"an Independent, Non-executive Director"
the Union Bank Board,served since,2017
the Union Bank Board,served as,"an Independent, Non-executive Director"
the Union Bank Board,served since,2017
the Union Bank Board,served as,"an Independent, Non-executive Director"
 (Mathematics, (Mathematics from,"Imperial College, University of London"
 (Mathematics, (Mathematics from,the London School of Economics
 (Mathematics, (Mathematics from,"Imperial College, University of London"
 (Mathematics, (Mathematics from,the London School of Economics
 (Mathematics, (Mathematics from,"Imperial College, University of London"
 (Mathematics, (Mathematics from,the London School of Economics
 (Mathematics, (Mathematics from,"Imperial College, University of London"
 (Mathematics, (Mathematics from,the London School of Economics
 (Mathematics, (Mathematics from,"Imperial College, University of London"
 (Mathematics, (Mathematics from,the London School of Economics
 (Mathematics, (Mathematics from,"Imperial College, University of London"
 (Mathematics, (Mathematics from,the London School of Economics
  Teenagers,offered until,the end of August
  Teenagers,offered until,the end of August
POS,point of,-
POS,point of,sale
POS,point of,-
POS,point of,sale
POS,point of,-
POS,point of,sale
POS,point of,-
POS,point of,sale
 Costs,rose due,mainly
 Costs,rose due,to
 Costs,rose due,higher pay
Best Employer Brands’,Best Employer Brands’ by,World HRD Congress
Best Employer Brands’,Best Employer Brands’ by,World HRD Congress
Best Employer Brands’,Best Employer Brands’ by,World HRD Congress
Amãna Bank,emerged From,humble
Amãna Bank,emerged as,a fast growing institution
Amãna Bank,regard Amongst, 
Amãna Bank,regard Amongst,many purposeful initiatives
Amãna Bank,regard as,one
the Bank,drawn for,which
the Bank,drawn in,taking
the Bank,drawn for,which
the Bank,drawn in,taking
the National Long Term Rating of Amãna Bank,affirmed In, 
the National Long Term Rating of Amãna Bank,affirmed In,October 2020
the National Long Term Rating of Amãna Bank,affirmed to,BB+(lka
the National Long Term Rating of Amãna Bank,affirmed with,a Stable Outlook
the National Long Term Rating of Amãna Bank,affirmed In, 
the National Long Term Rating of Amãna Bank,affirmed In,October 2020
the National Long Term Rating of Amãna Bank,affirmed to,BB+(lka
the National Long Term Rating of Amãna Bank,affirmed with,a Stable Outlook
the National Long Term Rating of Amãna Bank,affirmed In, 
the National Long Term Rating of Amãna Bank,affirmed In,October 2020
the National Long Term Rating of Amãna Bank,affirmed to,BB+(lka
the National Long Term Rating of Amãna Bank,affirmed with,a Stable Outlook
The Bank of Ceylon,opened at,its head office complex
HSBC Sri Lanka,named for,the fifth consecutive year
International Bank of the Year,named for,the fifth consecutive year
Asiamoney in the Best Bank Awards 2021,named for,the fifth consecutive year
HSBC Sri Lanka,named for,the fifth consecutive year
International Bank of the Year,named for,the fifth consecutive year
Asiamoney in the Best Bank Awards 2021,named for,the fifth consecutive year
HSBC Sri Lanka,named for,the fifth consecutive year
International Bank of the Year,named for,the fifth consecutive year
Asiamoney in the Best Bank Awards 2021,named for,the fifth consecutive year
 NDB Investment Bank,perform to,the SPO
 NDB Investment Bank,perform to,the SPO
 NDB Investment Bank,perform to,the SPO
 NDB Investment Bank,perform to,the SPO
NDBIB,advising on,their initial listing
NDBIB,advising in,2012
NDBIB,advising on,their initial listing
NDBIB,advising in,2012
NDBIB,advising on,their initial listing
NDBIB,advising in,2012
NDBIB,advising on,their initial listing
NDBIB,advising in,2012
Citizens Development Business Finance,etched by,ranked
Citizens Development Business Finance,etched in,this 18th annual review
Citizens Development Business Finance,etched by,pioneering
Citizens Development Business Finance,etched by,ranked
Citizens Development Business Finance,etched in,this 18th annual review
Citizens Development Business Finance,etched by,pioneering
Citizens Development Business Finance,etched by,ranked
Citizens Development Business Finance,etched in,this 18th annual review
Citizens Development Business Finance,etched by,pioneering
Citizens Development Business Finance,etched by,ranked
Citizens Development Business Finance,etched in,this 18th annual review
Citizens Development Business Finance,etched by,pioneering
Citizens Development Business Finance,etched by,ranked
Citizens Development Business Finance,etched in,this 18th annual review
Citizens Development Business Finance,etched by,pioneering
Citizens Development Business Finance,etched by,ranked
Citizens Development Business Finance,etched in,this 18th annual review
Citizens Development Business Finance,etched by,pioneering
CDB,worked in,this last year
CDB,worked on,two primary beliefs
CDB,worked in,this last year
CDB,worked on,two primary beliefs
  HNB PLC,joined with,LankaClear Ltd.
  HNB PLC,joined with,LankaClear Ltd.
 HNB PAYFAST,is among,the most cost-effective digital banking solutions
 HNB PAYFAST,is without,any hidden charges
 HNB PAYFAST,is among,the most cost-effective digital banking solutions
 HNB PAYFAST,is without,any hidden charges
 HNB PAYFAST,is among,the most cost-effective digital banking solutions
 HNB PAYFAST,is without,any hidden charges
 HNB,offers to,all customers
Bank for 1H2021, Pre-impairment profits Bank for 1H2021,the
Bank for 1H2021, Pre-impairment profits Bank for 1H2021,the
the Bank,booked during,this period
the Bank,booked during,this period
the Bank,recorded before,all taxes
average CASA,grew From, 
average CASA,grew From,January to June 2021
average CASA,grew by,11%
average CASA,grew over,the comparative period
a Total Capital Ratio,reporting as,at
a Total Capital Ratio,reporting as,at
the Bank,remained During,this challenging period
the Bank,remained During,managing
the Bank,remained in,maintaining
Sampath Saviya Business Advisory Services,access by,calling
the Bank,shifted With, 
the Bank,shifted With,the rise
the Bank,transforming As, 
the Bank,transforming As,part
the Bank,transforming into,a ‘tech company
the Bank,transforming from,the traditional approach
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 43.3 b
Union Assurance,continues With, 
Union Assurance,continues With,76 branches
  AIA Insurance,recognised in,the Best Workplace
The Commercial Bank of Ceylon,recognised as,the ‘Strongest Bank Brand
The Commercial Bank of Ceylon,recognised in,2021
The Commercial Bank of Ceylon,recognised as,the ‘Strongest Bank Brand
The Commercial Bank of Ceylon,recognised in,2021
The Commercial Bank of Ceylon,recognised as,the ‘Strongest Bank Brand
The Commercial Bank of Ceylon,recognised in,2021
 Commercial Bank,named in,the 2020 ranking
 Commercial Bank,named in,the 2020 ranking
 Commercial Bank,named in,the 2020 ranking
Brand Finance PLC,headquartered in,London
the Bank,is In, 
the Bank,is In,addition
the Bank,is at,national and regional level
 Taxperts,won at,Awards 2019
 Taxperts,won in,the same year
the National IT Award at the National Best Quality Software Awards,the Information and Communication Technology Agency of,Sri Lanka
 Taxperts,won at,Awards 2019
 Taxperts,won in,the same year
the National IT Award at the National Best Quality Software Awards,the Information and Communication Technology Agency of,Sri Lanka
 Taxperts,won at,Awards 2019
 Taxperts,won in,the same year
the National IT Award at the National Best Quality Software Awards,the Information and Communication Technology Agency of,Sri Lanka
 Taxperts,won at,Awards 2019
 Taxperts,won in,the same year
the National IT Award at the National Best Quality Software Awards,the Information and Communication Technology Agency of,Sri Lanka
 Taxperts,won at,Awards 2019
 Taxperts,won in,the same year
the National IT Award at the National Best Quality Software Awards,the Information and Communication Technology Agency of,Sri Lanka
 Taxperts,won at,Awards 2019
 Taxperts,won in,the same year
the National IT Award at the National Best Quality Software Awards,the Information and Communication Technology Agency of,Sri Lanka
 Gangodawilage,serves as,the Vice President
the Global Economics Awards 2021,awarded in,UK
the Global Economics Awards 2021,awarded in,UK
  NDB Wealth,provided with,solid and sensible investment plans
’s National Long-Term Rating,’s National Long-Term Rating to,‘
’s National Long-Term Rating,’s National Long-Term Rating to,AA-(lka
’s National Long-Term Rating,’s National Long-Term Rating to,)
’s National Long-Term Rating,’s National Long-Term Rating to,‘
’s National Long-Term Rating,’s National Long-Term Rating to,AA-(lka
’s National Long-Term Rating,’s National Long-Term Rating to,)
Association of Professional Bankers,Association of Professional Bankers From,left
Sri Lanka Advisory Committee,Association of Professional Bankers From,left
Association of Professional Bankers,Association of Professional Bankers From,left
Sri Lanka Advisory Committee,Association of Professional Bankers From,left
Association of Professional Bankers,Association of Professional Bankers From,left
Sri Lanka Advisory Committee,Association of Professional Bankers From,left
Bank of Ceylon Council, Raveendran From,left
Sri Lanka Fund Management Committee, Raveendran From,left
Aravinda Perera, Raveendran From,left
Bank of Ceylon Council, Raveendran From,left
Sri Lanka Fund Management Committee, Raveendran From,left
Aravinda Perera, Raveendran From,left
Bank of Ceylon Council, Raveendran From,left
Sri Lanka Fund Management Committee, Raveendran From,left
Aravinda Perera, Raveendran From,left
Bank of Ceylon Council, Raveendran From,left
Sri Lanka Fund Management Committee, Raveendran From,left
Aravinda Perera, Raveendran From,left
Sejaya Micro Credit Limited,a Board Member of,World Vision Lanka
Sejaya Micro Credit Limited,a Board Member of,World Vision Lanka
Sejaya Micro Credit Limited,a Board Member of,World Vision Lanka
the Insead Executive Management Programme,a Diploma Holder in,the Avira Programme
the Insead Executive Management Programme,a Diploma Holder in,the Avira Programme
the Australian Business Circle,a founder member of,Swiss Business Circle
the Australian Business Circle,a founder member of,Swiss Business Circle
 LankaClear,launched in,2017
 LankaClear,launched under,the direction
 LankaClear,launched with,the objective
LankaPay Online Payment Platform,launched in,2017
LankaPay Online Payment Platform,launched under,the direction
LankaPay Online Payment Platform,launched with,the objective
 LankaClear,launched in,2017
 LankaClear,launched under,the direction
 LankaClear,launched with,the objective
LankaPay Online Payment Platform,launched in,2017
LankaPay Online Payment Platform,launched under,the direction
LankaPay Online Payment Platform,launched with,the objective
 LankaClear,launched in,2017
 LankaClear,launched under,the direction
 LankaClear,launched with,the objective
LankaPay Online Payment Platform,launched in,2017
LankaPay Online Payment Platform,launched under,the direction
LankaPay Online Payment Platform,launched with,the objective
 Pan Asia Bank,been on,digital transformation journey
 Pan Asia Bank,been on,digital transformation journey
  Citizens Development Business Finance PLC,lauded as,one
  Citizens Development Business Finance PLC,lauded as,one
  Citizens Development Business Finance PLC,lauded as,one
CDB,is With, 
CDB,is With,a triple bottom line approach
CDB,initiated With, 
CDB,initiated With,this
 Farmers,play in,development
online Sri Lanka Insurance,held via,Zoom online platform
online Sri Lanka Insurance,held on,7 July
online Sri Lanka Insurance,held via,Zoom online platform
online Sri Lanka Insurance,held on,7 July
online Sri Lanka Insurance,held via,Zoom online platform
online Sri Lanka Insurance,held on,7 July
online Sri Lanka Insurance,held via,Zoom online platform
online Sri Lanka Insurance,held on,7 July
The Chairman and Board of Directors,participated in,the meeting
The Chairman and Board of Directors,participated from,their respective locations
Sri Lanka Insurance,reported In, 
Sri Lanka Insurance,reported In,the year of 2020
 Further Sri Lanka Insurance,recognised as,a ‘Great Place
 Further Sri Lanka Insurance,recognised to,Work
 Further Sri Lanka Insurance,recognised as,a ‘Great Place
 Further Sri Lanka Insurance,recognised to,Work
 IFC,look by,deliver
COVID,using Given,the significant shortfall
COVID,using as,cross-cutting entry points
COVID,using Given,the significant shortfall
COVID,using as,cross-cutting entry points
 Gomez Ang,served as,Country Manager
 Gomez Ang,served for,Angola
IFC,joined in,Mexico City
IFC,joined in,2006
IFC,joined as,an Investment Officer
HNB,demonstrated in,each
the Central Bank of Sri Lanka,supported during,the past year
  Seylan Bank Head,  Seylan Bank Head of,Digital Banking Channels Chaminda Senewiratne
PayHere CEO Dhanika Perera Seylan Bank,joined with,PayHere
  Seylan Bank Head,  Seylan Bank Head of,Digital Banking Channels Chaminda Senewiratne
PayHere CEO Dhanika Perera Seylan Bank,joined with,PayHere
  Seylan Bank Head,  Seylan Bank Head of,Digital Banking Channels Chaminda Senewiratne
PayHere CEO Dhanika Perera Seylan Bank,joined with,PayHere
  Seylan Bank Head,  Seylan Bank Head of,Digital Banking Channels Chaminda Senewiratne
PayHere CEO Dhanika Perera Seylan Bank,joined with,PayHere
  Seylan Bank Head,  Seylan Bank Head of,Digital Banking Channels Chaminda Senewiratne
PayHere CEO Dhanika Perera Seylan Bank,joined with,PayHere
 Seylan Bank,contributed towards,the growth
 Seylan Bank,contributed by,mobilising over 300
 Seylan Bank,contributed towards,the growth
 Seylan Bank,contributed by,mobilising over 300
 Seylan Bank,operates with,a vision
 Seylan Bank,operates with,a vision
 Seylan Bank,endorsed as,a financially stable organisation
 Seylan Bank,endorsed as,a financially stable organisation
the University of Auckland,a Professor/Senior Lecturer in,Economics
the University of Auckland,a Professor/Senior Lecturer in,Economics
the University of Auckland,a Professor/Senior Lecturer in,Economics
the University of Auckland,a Professor/Senior Lecturer in,Economics
the University of Auckland,a Professor/Senior Lecturer in,Economics
the University of Auckland,a Professor/Senior Lecturer in,Economics
 KFL,celebrates in,October this year
  Diversified Sri Lankan conglomerate Sunshine Holdings,emerged as,the Gold awardee
  Diversified Sri Lankan conglomerate Sunshine Holdings,emerged at,the eighth annual CFA Sri Lanka Capital Market Awards
  Diversified Sri Lankan conglomerate Sunshine Holdings,emerged as,the Gold awardee
  Diversified Sri Lankan conglomerate Sunshine Holdings,emerged at,the eighth annual CFA Sri Lanka Capital Market Awards
  Diversified Sri Lankan conglomerate Sunshine Holdings,emerged as,the Gold awardee
  Diversified Sri Lankan conglomerate Sunshine Holdings,emerged at,the eighth annual CFA Sri Lanka Capital Market Awards
 MDRT,recognised as,the highest standard
MPC,introduced As, 
MPC,introduced As,a testament
MPC,introduced to,its portfolio
MPC,introduced in,May 2018
MPC,formulated in,2020
MPC,established in,response
Minato M Power Capital Ltd.,established in,response
MPC,established in,response
Minato M Power Capital Ltd.,established in,response
 Emerald Sri Lanka Fund,sold along,with
PAP to RIL Property PLC,sold along,with
(RIL,PAP to RIL Property PLC for,a total sale value
 Emerald Sri Lanka Fund,sold along,with
PAP to RIL Property PLC,sold along,with
(RIL,PAP to RIL Property PLC for,a total sale value
 NDB Investment Bank,acted as,the exclusive financial advisor
RIL Property PLC,select as,the successful investor
 NDB Investment Bank,acted as,the exclusive financial advisor
RIL Property PLC,select as,the successful investor
Panasian Power,recorded Despite, 
Panasian Power,recorded Despite,COVID-related disruptions
Panasian Power,has On, 
Panasian Power,has On,the back
the Fund,invested In, 
the Fund,invested In,July 2019
IPP,made as,per
JAT Holdings,taps through,an Initial Public Offering
JAT Holdings,taps as,an innovative corporate entity
